ulasan,rasa,sambal,keramaian,kenyamanan,pelayanan,rating,sentimen
"Fix, besok-besok bakal datang kesini lagi",NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Food is delicious,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Ga nyangka star of the dishnya si pangsit! Enaaaaaak banget, wajib dicobain.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Ga nyangka, rasanya seenak ini dong! Besok gua ajak temen gua kesini lagi deh",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
gak kemahalan dengan rasa yg b aja. Sambelnya jg kurang nendang..baru pertama kali ksini.,NETRAL,,NETRAL,BURUK,BURUK,1,0
"Gak nyaman, wifi terbatasi, mas2nya blm diminta bill udah ngasih billnya.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Gak perlu panjang lebar, ayam goreng disini bintang 5 lah. Dagingnya empuk dan lembut, rasanya meresap bgt. Nasi uduk plus bawang gorengnya juara. Dah lah klo emang pecinta ayam goreng kampung mesti bgt nyobain.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Gak pernah bosen makan disini ‘ meskipun harga agak lumayan yaaa .. Tp sesuai lah dengan porsi dan rasa endolllita banyak puLaaa ??
Rekomend pokonya ‘ tmpt nya juga nyaman .. porsi nya banyak ..",BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,4,1
Gelap banget tempatnya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Gerakan pelayannya lambat sekali,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
GILA RASANYA ANJING BANGET,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Gila rasanya pengen meninggoy OMG,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
gilaaa pelayanannya lama banget. pesen dari jam 5. jam setengah 7 belum dateng juga. udah mau balik malah dateng pesenannya. mahal doang. pelayanannya lana.,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Gilek mamen.... dimsumnya fresh..
Tempatnya juga bagus dekornya... harga bersahabat... tempat nya dingin...
Rekomen deh... akan balik lagi untuk cobain menu lain....",BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,4,1
"god damn delicious!

seafood disini enak semua, bingung gw juga kenapa bisa enak semua gini, dari gurame bakar & gorengnya, cumi tepung, kepiting yg item dan yg merah (saosnya), udang, semua enak dan ga ada yg amis sama sekali, disediain sambel (terasi kayanya) yg enak juga rasanya, makan ber 7 waktu itu semuanya kenyang dan tersenyum lebar karena rasanya yg enak",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Great Ambience, Good Quality Food, Great location, bersih banget tempatnya, jd nyaman ??",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Great customer service,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Great taste,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Gua rekomendasiin banget ini restoran ke temen2 gua, saudara2 gua juga. gue suruh kesini semua. kenapa? karena emg seenak itu broo!",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Gua udah dateng 2x. Service parah. Slow. padahal bkn weekend. Makanya malas coba lg walau banyak promo murah di resto ini..bad experience,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"hai semua pelanggan ,janganlah makan di soup restourant...karena restorannya kurang bonafit dan merugikan setiap pelanggannya...mungkin menurut saya pun makanannya juga ta enak kali ye...
krn sy menulis ini merasa dirugikan,sy kagak tau bhw soup restorant yang di sanayan city ditutup,sy sudah reservasi di bln agustusan untuk dipakai ditanggal 19 oct dan 24 oct tetapi saya tlp lagi hari ini dan restorantnya sudah tutup,dan saya tlp blg mau diganti ke plaza indonesia katanya tdk bisa...JADI SAYA SEBAGAI PELANGGAN MERASA DIRUGIKAN BANGET,JADI BERHATI2LAH YANG MAKAN DISANA.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Hakau kepitingnya enak, dan bakpau telur asinnya. Sambal yg ada aroma terasinya enak.",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,4,1
"HAMPIR NELEN KARET YANG ADA DI AYAM NYA.

Jarang makan rocky karena rasanya terlalu pekat bumbu nya. Sekali makan rocky 3 bulan sekali dan pas makan mulut kerasanya bau plastik, tiba2 ada kenyel2 kayak karet yg dimakan, pas dikeluarin beneran ada karet di dalam ayam nya. Karet gelang. :-)

Very good, Rocky ??",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Hands down one of the best nasi uduk in Jakarta. Mereka pake ayam kampung gitu. Kecil kecil nagih. Sambelnya mantap. Nasinya biasa aja sih sebenernya. Tapi bawang gorengnya mantap. Kalo kesini suka rame banget. Sikut sikutan ama ibu ibu yang ga mau antri. Macem antri sembako. But its worth the wait. All this talk makes me want it now.,BAGUS,BAGUS,BAGUS,NETRAL,BAGUS,5,1
Hanya ada 2 waiter di lunch time sehingga proses order hingga makanan datang cukup lama. Padahal makanan sudah ready to served di window kitchen sehingga makanan tidak terlalu hangat karena sudah cukup lama ready.,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Harga bersahabat,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Harga dan rasa sebanding,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,3,1
"Harga kaki lima, rasa bintang lima",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Harga kurang bersahabat,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Harga mahal,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Harga mahal banget,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Harga mahal sekali, tidak worth it",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
"Harga murah meriah dan dijamin bakal nagihh!pokoknya ayamnya, kremesanya dan sambelnya enak bngtt?? Recommended banget kalo sambil ngumpul bareng teman-teman dan keluarga..",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,5,1
Harga paketan sangat terjangkau dan layak dibeli,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,4,1
Harga pas,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Harga rendah,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Harga standard untuk dimsum , rasanya cukup oke. Makanan favorite saya kwetiau telur ??",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Harga terjangkau,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Harga terjangkau dan enak sekali,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,5,1
"Harga termasuk premium utk masakan jawa. Saya tadi beli ayam goreng sebagai lauk, potongan ayam nya segede bakso biasa. Kering gak ada daging. Tolong pihak resto perhatikan porsi lauk kalu jualan harga mahal",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
Harga tidak pas di kantong,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Harga tidak terlalu mahal, enak pula",BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,4,1
Harga tinggi,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Harga tinggi selangit,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Harga wajar,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Harganya murah,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Harganya ngak nanggung-nanggung,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Harus cobain menu lainnya, pasti enak sekali",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Harus dicoba,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Hati2 terhadap manager soup restaurant di Plaza indonesia ini.. Memasukkan harga di struk berbeda dengan yg di menu! Kelakuannya sangat menyebalkan dan tidak profesional..
Saya sebagai pelanggan merasa sangat kecewa..",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Hidangan asli Indonesia, rumah makan yang berlokasi di Batam Centre, mudah untuk di temui",NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,4,1
Honestly the best dish for me was the wagyu truffle. it was nice in my opinion kurang asin dikit aja. but my partner dislike it krn menurut dia gada rasa.,BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
I love this spot,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Ikan bandeng dan ayam geprek favorite saya ada disini. sangat rekomended untuk coba menu ini. sejauh ini masih worth it untuk dinikmati,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Ikan yang disajikan masih segar2. sangking segarnya, ikannya masih manis ketika dimakan. apalagi ditambah sambalnya. mantap poll",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,5,1
Ikannya amis,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Ikannya gak amis,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Iklannya berlebihan, ngak sesuai realita",NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Ini adalah rumah makan pedas terbaik yang pernah saya coba,BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,4,1
"Ini adalah salah satu rm favorit saya, kalo kesini saya kalap dan cukup khusyu banget kalo udh makan nasi uduk pake ceker, leher n ayam goreng , semur jengkol nya juga enak pake banget, disini lumayan ngantri tapi cepet koq pelayanannya, dari sisi harga masih ok lah sesuai sama rasanya, Mantepp deh pokoknya, rekomended banget buat yg blm pernah nyobain mkn disini.",BAGUS,NETRAL,NETRAL,NETRAL,BAGUS,4,1
Ini baru namanya sambal,BAGUS,BAGUS,NETRAL,BAGUS,NETRAL,5,1
ini gelato rasanya super enak!,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Ini mungkin menjadi kali terakhir kesini, makin hari rasanya makin hambar. jadi gasuka",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Ini rest recomended. Ajak keluarga full team.. Kue n baronang bakar. Cumi goreng tepung udang bakar madu udang saus padang. Tumis daun dewa... Maknyus. Murah. Besar besar dan uenakkk puoolll... Recomended,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Ini restoran seafood terenak yg pernah aku makan, harus bgt order udang masak cabe dan udang cabe garam (mereka gaada di dalem menu tp bisa langsung minta aja), kerang saos padang, ikan kue bakar, tumis toge perpaduan yg sangatlah PERFECTO. Semoga bermanfaat teman teman",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Ini yang masak,pernah belajar masak gak???lulusssan mana ya? Hahaha ancurrrrr rasanyaaa, bertiga pesen makanan, gk ada yang enak satupun makananya, failedd abessssssss... !!!!!",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Instagrammable buat foto-foto tempatnya,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
It is too pricey,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Jadi teringat kampung halaman. Nuansa kuno dan nyaman. Lokasi yang sejuk di Kota Batam. Dengan makanan yang khas kediri, semakin menambah rasa kangen akan rumahku di sana",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Jago masak ikannya,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Jalan kaki sampai tempatnya, dekat sekali",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Jangan datang ke sini, mengecewakan pokoknya",BURUK,BURUK,BURUK,BURUK,BURUK,1,0
"Jangan makan disini Kalo tidak ada waktu banyak. Kalo untuk makan siang kantor, ga bakal keburu. Pelayanan lama padahal ini makanan Padang. Rasa sih enak",BAGUS,NETRAL,NETRAL,BURUK,BURUK,3,0
Jangan sampai kalian datang ke sini,BURUK,BURUK,BURUK,BURUK,BURUK,1,0
Jangan singgah sini lagi,BURUK,BURUK,BURUK,BURUK,BURUK,1,0
"Jangan tanya enak atau enggak untuk tempat makan ini. Tempatnya mah biasa, iya, oke. Coba tanya soal makanannya, luar biasa.
Saya berani jamin enggak bakalan nyesel makan disini baik ditempat langsung atau dibawa pulang.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"jarang kasih restoran dengan 5 bintang haha. Tapi asli Wiro Sableng ini emang MANTUL banget rasanya. Pesan ikan kuek bakar, kerang dara rebus, sama cumi saos Padang. SEMUANYA ENAK. Ikan kueknya dibakar merata. Sambelnya mantap. Kerang daranya juga enak. Saos Padangnya pedes. Aduh, puas puas puas. Mungkin emang agak panas tempatnya karena selalu ramai kali ya, jadi AC-nya ngga mempan. Tapi rasa mengalahkan itu. Oh, dari harga juga ga terlalu mahal menurut aku sih. Masih termasuk standard harga restaurant seafood ya",BAGUS,NETRAL,BAGUS,NETRAL,NETRAL,4,1
"Jauh-jauh datang ke sini, tapi mengecewakan",BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
Jelek banget pelayanannya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Jelek banget pelayanannya...
Cuma take away, sambel, daun singking, nasi box 1 nunggu sampe 1/2 jam...
Ga banget makan disini... Yg makan di tmpt jg ga dilayani dgn baik..
Kasir nya galak bgt.. Ga sopan...
Makanannya juga biasa aj,, porsi kecil, dikit banget.
Sangat sangat ga disarankan...",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Jika kalian kangen makanan Indonesia, rumah makan ini sangat saya rekomendasi",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Jorok banget WCnya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Juaraaaaa enak dan sedep semuaaa,,,, rekomen deh. ?????? kepiting bakar bungkus daun pisang, kerapu steam, udang bakar, cumi goreng tepung dll gaeess ????????",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Jujur tempatnya bagus, music is good, price is affordable. Selection of food kurang banyak. Service dari overall staffs yang bertugas seperti tidak ada yang di training. Wajar review-er lain juga memberikan review yg sama. Never gonna come back to this place. Not recommended even if the drink is on the house.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Kalau bisa cari tempat lain aja,BURUK,BURUK,NETRAL,BURUK,BURUK,1,0
"Kalau grill nya ga perlu di ragukan lg rasanya, dessertnya yg milk pudding apalagi aduh.. ga bisa berkata2, dan pelayanannya juga sangat baik saya dengan Mba Desi?? ramah murah senyum",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Kalau kangen sama hainam chicken rice spore, disini tempatnya yg tepat, resto nya clean, harga nya pas",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Kalau ke sini, harus pesan Kepiting Saus Padang. Juara abis rasa pedasnya! Cukup nendang tapi gak berlebihan. Selain itu ikan bakarnya juga segar dan sambil menunggu, jangan lupa pesan kerang rebusnya :)",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"kalau untuk makan, ga enak sama sekali, nasi goreng gila (benyek) 60rban kalau pakai telor dan mie ayam nonabun ga enak sama sekali. Overpriced! Semua makanan dna minuman. Ga sebanding dengan kualitasnya.",NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Kalo kalian suka kopi, Gak USAH minum kopi disini.",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"kalo lagi pengen makan kepiting atau seafood lainnya, tempat ini juara deh. soal rasa emang wah gilee enak deh. dan ya menurut harganya juga pas lah, ga mahal banget. yang paling gue suka disini, kepiting sama kerang dara. behhh, endes??",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Kalo lagi pengen sate padang pasti mampir kesini,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Kapok kalau datang ke sini,BURUK,BURUK,NETRAL,BURUK,BURUK,1,0
Kapok makan disini pelayanannya lama . Ampun dah makanan keluarnya lama bngt nga profesional . Kalo ngak percaya silahkan dicoba kakakkkkkkk sapa tau uda berubah lbh baik pelayanannya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Kapok makan disini pelayanannya lama . Ampun dah makanan keluarnya lama bngt nga profesional . Kalo ngak percaya silahkan dicoba kakakkkkkkk sapa tau uda berubah lbh baik pelayanannya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Karena lagi lapar, kita pesan Kwetiau Goreng Seafood dan Mie Kangkung Balacan, porsi large. Mereka sedia dua ukuran, small dan large. Saran aku sih kalau makan berdua laki2 dan perempuan, pesan satu large dan satu small, jadi pas. Kwetiaunya kenyal, seafoodnya fresh ga keras, lebih mantap kalo ditambah chilli oilnya. Terus Mie Balacannya pas banget sih, seger udangnya berasa banget, match banget sama balacan. Mienya juga ga lodoh.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Karyawan baik,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Karyawan tangkas,NETRAL,NETRAL,NETRAL,NETRAL,BAGUS,5,1
"Kasir tidak peduli apapun yg saya katakan, jual mahal banget",NETRAL,NETRAL,NETRAL,NETRAL,BURUK,2,0
"Kasir tidak ramah, tidak ditawarkan saus untuk dipisah alhasil rasa ayam yg dicampur dg sausnya tidak enak serta makanan yg diberikan tidak lengkap, ada satu jenis yg kurang namun tidak diberitahu sebelum kami bertanya dan makanan yg enak hanya sosis,",BURUK,BURUK,NETRAL,BURUK,NETRAL,2,0
Kasirnya djancok,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Kasirnya lama banget ngitungnya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Kasirnya lemot banget,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Kata-katanya kasar banget,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Katanya pedas dan enak, setelah dimakan ternyata tidak pedas sama sekali",NETRAL,BURUK,NETRAL,NETRAL,NETRAL,1,0
kayak makan whiskas,BURUK,NETRAL,NETRAL,NETRAL,NETRAL,1,0
Kayaknya gaakan kesini lagi deh,BURUK,BURUK,NETRAL,BURUK,BURUK,1,0
"Ke mana sih orangnya, nyasar kah",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"ke sini uda beberapa kali, ga pernah mengecewakan. makanannya enak fresh good quality",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Kebersihan nya oke banget restoran ini dan penyajian cepet pdhal kt rombongan. Oh ya dan pelayan nya namanya Mas Dhirga responsive banget, nawarin terus butuh apa dan cepet. Top banget.",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Kebetulan terletak di Batam center, strategis banget. tadinya mau ke kantor tapi bisa singgah sebentar buat makan siang. makanan nya juga enak, tidak mengecewakan",BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
"Kecewa :(

Pesen 1/4 roast chicken with sauteed potato. Kentang nya belom mateng dan ayam nya pun juga biasa aja rasanya..

Saya udah cobain roast chicken dengan kisaran harga seperti ini di tempat lain dan menurut saya ini adalah roast chicken yang paling biasa.. Masih ada yang lebih enak dan murah..",BURUK,NETRAL,NETRAL,BURUK,NETRAL,2,0
"Kecewa dengan sikap cashier yang bernama Ipah dan Kapten resto Mimi, yang mendahulukan customer yang sudah membatalkan reservasi meja, tetapi sewaktu menunggu meja kami sedang disiapkan, kami di infokan bahwa meja tersebut tidak bisa kami tempati, karena customer yang tadi sudah membatalkan reservasi nya, berubah pikiran dan akan menuju ke resto, dengan kondisi saya sedang bersama keluarga 4 dewasa dan 2 infant.. Dan saya merasa direndahkan oleh oknum pegawai tersebut, dan akan membawa ini ke ranah hukum.. Salam RAG & Partners",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Kecil amat porsinya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Kecil banget ayamnya,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"kelamaan nunggu, harapannya semoga dibuka cabang dan direnov lebih besar lagi karna kapasitasnya kurang untuk customer banyak. pelayanannya jg kurang cepat jadi keburu laper duluan",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Kemahalan untuk seporsi,BURUK,NETRAL,NETRAL,BURUK,NETRAL,2,0
"kemaren pesen lewat G*food tapi kok porsinya jadi dikit banget, terus ada bau ga enak, dan salmonnya juga agak amis??",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
"Kenikmatan sate padang yg ngetop di Jakarta. Dagingnya empuk, potongannya kecil, bumbu satenya warna orange, teksturnya halus dan kental, agak sedikit pedas.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Kepiting saos bawangnya sangat-sangat mengecewakan, dagingnya keras sekali seperti daging ayam. Jadi makanya susah sekali. Gak akan kembali lagi ke sini.",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Keras banget dagingnya,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Kesini karena air terjunnya. Dan bener makanannya B aja. Pesen pake liwet ber5, gurame 2 cm bs pilih bakar/goreng . Ayam 5 cm bisa pilih bakar/goreng/gepuk gabs campur2. Mending pilih menu biasa. Waiting list, trus pesen duluan dan setelah duduk pun makanan tetep lama sampenya. Gak ada makanan yg bomb. Over price. Terutama minumannya. Semua Ok, fasilitas tempat, mushola, toilet, air terjun, kecuali makanan, minuman, dan kebersihan alat makannya. Utk skg ga akan rekomendasiin tempat ini ke orang lain.",BURUK,BURUK,BURUK,BAGUS,BURUK,1,0
"Kesini ketika hujan, sialnya atap restoran ini bocor dan membasahi semua makanan kami. kami juga basah kuyup!!",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Kipas angin nya tolong ditambah lagi ??,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
"Kita harus menunggu lama makanan yg kita pesan disajikan (kurang lebih 45 menit). Makanan tidak panas, rasanya biasa saja. Belum jam 10 sudah disodorin bill",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Kl ke bogor selalu makan disini, tapi sayang pelayanannya lama, ikan bakarnya terkadang cuma gosong diluar tp dlmnya msh berair, sometimes pahit, yg enak menurut gw cuma nasi timbelnya ajah, heheheheh kl gw sering nyari aman paling minta gurame goreng n nasi timbel ajah, soalnya sambelnya nggak enak, cuminya nggak enak, baby fish biasa ajah.",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Kok bisa yang seperti ini di bilang enak,BURUK,NETRAL,NETRAL,NETRAL,NETRAL,1,0
"Koki baru kayanya, belum bisa masak",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Kokinya jago banget masaknya,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Kotor banget lantainya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Kotor banget tempatnya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Kualitas bagus,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Kualitas bintang lima,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Kualitas makanan yang luar biasa, suasana ruangan juga adem banget. senang sekali bisa menemukan restoran yang menyediakan makanan seperti ini dengan pelayanan yang baik",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Kualitas sebanding dengan harga,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,1,0
Kualitas tinggi,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"kumpul bareng teman dirumah krn lagi harus #dirumahaja akhirnya belinya seafood wiro sableng, dan ga bikin kecewa banget karena selain seporsinya banyak udh gt rasanya mantap dan segar, ber 7 aja kekenyangan. favorit kepiting dan kerangnya ??",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Kurang bikin berselera,BURUK,NETRAL,NETRAL,BURUK,NETRAL,2,0
Kurang diajar sopan santun pelayannya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Kurang enak,sambal nya terlalu manis,cah kangkung nya lumayan tapi bumbu ny kurang menyerap,ayamnya alot,minuman nya terlalu manis.",BURUK,BURUK,NETRAL,NETRAL,NETRAL,1,0
Kurang mantap,BURUK,NETRAL,NETRAL,BURUK,NETRAL,2,0
Kurang matang ayamnya,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Kurang nendang,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Kurang profesional,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Kurang strategis lokasinya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Lama banget datangnya pesanannya. At worst adalah ada customer lain yang datang 15 menit lebih lama tapi pesanan datang duluan. Definitely ngga akan kesini lagi.,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Lama banget kami tunggu,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Lama banget pelayannya datang,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
lama keluar makanannya dan rasanya sekarang beda banget sama yang dulu mungkin sudah bukan target marketnya lagi,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Lama2 nunggu ternyata pas keluar mengecewakan,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Lama2 nunggu ternyata pas keluar mengecewakan,NETRAL,NETRAL,NETRAL,BURUK,BURUK,,0
Lambat banget,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Lambat banget bill-nya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Lambat kali masaknya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Lambat sekali pengirimannya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Langit-langit rumah makan sangat kotor dan berdebu, jadi malas mau makan disini",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Lantai nya kotor sekali, mungkin staf nya tidak bekerja dengan baik",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Layanan buruk sekali, pelayan membuat saya merasa seperti org bodoh setiap kali dia datang ke meja",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Layanan tidak bagus, pelayan tidak tersenyum sama sekali. makanan tidak sepadan, hidangan sudah dimasak lama tidak segar sama sekali.",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Layanan tidak bagus, pelayan tidak tersenyum sama sekali. makanan tidak sepadan, hidangan sudah dimasak lama tidak segar sama sekali.",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"lazizaa chicken mantap dan enak rasanya, kemasannya baik, cocok dibuat acara ulang tahun dan keperluan lainnya ?? smoga dikemudian hari banyak diskonnya, trimakasih",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Lingkungan bersih dan nyaman,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Lokasi bagus, suasana resto luas dan menu makanan banyak pilihan dan pastinya instagramable",BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Lokasi jauh,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Lokasi strategis,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,5,1
"Lokasi strategis dipinggir jalan..rasa makanannya enak, tempatnya nyaman. Favourite sy disini ikan bandeng, yummy banget rasanya",BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Lokasinya dekat banget dari rumah,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Lokasinya strategis, di restonya banyak spot foto yang bagus2 banget, musik disini juga nyaman..dan paling penting makanannya enak bangettt",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Luar biasa makanannya,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Lumayan banyak yang tidak ada menu nya padahal datengnya udah lumayan siang,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
